-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::index_select         0.01%      27.799us         0.01%      27.799us       2.780us       0.000us         0.00%       0.000us       0.000us            10  
                                       cudaLaunchKernel         0.65%       1.747ms         0.65%       1.747ms       5.199us       0.000us         0.00%       0.000us       0.000us           336  
                                            aten::empty         0.09%     256.044us         0.09%     256.044us       3.460us       0.000us         0.00%       0.000us       0.000us            74  
                                             aten::item         0.01%      13.888us         0.01%      19.834us       1.983us       0.000us         0.00%       0.000us       0.000us            10  
                              aten::_local_scalar_dense         0.00%       5.946us         0.00%       5.946us       0.595us       0.000us         0.00%       0.000us       0.000us            10  
                                        cudaEventRecord         0.02%      41.681us         0.02%      41.681us       1.895us       0.000us         0.00%       0.000us       0.000us            22  
                                      Pregraph bytecode         0.13%     360.377us         0.13%     360.377us     360.377us       0.000us         0.00%       0.000us       0.000us             1  
                 AOTDispatcher Runtime Wrapper Prologue         0.15%     402.428us         0.15%     402.428us       6.191us       0.000us         0.00%       0.000us       0.000us            65  
## Call CompiledFxGraph fnmv43vu5menky5fmz5kzm7mfzff...         0.12%     317.380us         0.17%     471.277us     471.277us       0.000us         0.00%      52.672us      52.672us             1  
                                         cuLaunchKernel         0.59%       1.600ms         0.59%       1.600ms       4.985us       0.000us         0.00%       0.000us       0.000us           321  
                                       cuLaunchKernelEx         0.46%       1.247ms         0.46%       1.247ms       4.689us       0.000us         0.00%       0.000us       0.000us           266  
                    vllm::unified_attention_with_output         1.52%       4.095ms         3.22%       8.677ms     135.572us       0.000us         0.00%       1.062ms      16.595us            64  
                                           aten::unbind         0.08%     206.142us         0.20%     538.937us       8.421us       0.000us         0.00%       0.000us       0.000us            64  
                                           aten::select         0.09%     242.737us         0.13%     356.212us       2.600us       0.000us         0.00%       0.000us       0.000us           137  
                                           aten::expand         0.10%     270.334us         0.14%     377.517us       1.966us       0.000us         0.00%       0.000us       0.000us           192  
                                       aten::empty_like         0.04%     105.961us         0.13%     346.832us       5.419us       0.000us         0.00%       0.000us       0.000us            64  
                                    aten::empty_strided         0.15%     414.291us         0.16%     442.651us       4.256us       0.000us         0.00%       0.000us       0.000us           104  
                                   cudaFuncSetAttribute         0.02%      62.549us         0.02%      62.549us       0.977us       0.000us         0.00%       0.000us       0.000us            64  
                                            aten::zero_         0.05%     135.405us         0.26%     710.487us      11.101us       0.000us         0.00%      62.238us       0.972us            64  
## Call CompiledFxGraph fmxg5lcszfqx3zfcdhvknaidg7wi...         5.01%      13.508ms         8.74%      23.560ms     373.973us       0.000us         0.00%      25.593ms     406.235us            63  
                                        cudaMemsetAsync         0.15%     398.296us         0.15%     398.296us       4.742us       0.000us         0.00%       0.000us       0.000us            84  
## Call CompiledFxGraph fqomamxoahgh3o42lgapqlt3rv7x...         0.05%     129.787us         0.09%     232.967us     232.967us       0.000us         0.00%     353.054us     353.054us             1  
                                               aten::to         0.03%      84.582us         0.35%     944.021us      18.880us       0.000us         0.00%      94.718us       1.894us            50  
                                         aten::_to_copy         0.04%     112.954us         0.32%     859.439us      21.486us       0.000us         0.00%      94.718us       2.368us            40  
                                          aten::reshape         0.00%      11.168us         0.01%      24.056us       2.406us       0.000us         0.00%       0.000us       0.000us            10  
                                           aten::linear         0.01%      30.154us         0.21%     561.711us      56.171us       0.000us         0.00%       5.101ms     510.092us            10  
                                                aten::t         0.01%      28.731us         0.02%      55.067us       5.507us       0.000us         0.00%       0.000us       0.000us            10  
                                        aten::transpose         0.01%      16.921us         0.01%      26.336us       2.634us       0.000us         0.00%       0.000us       0.000us            10  
                                           aten::matmul         0.01%      19.971us         0.18%     476.490us      47.649us       0.000us         0.00%       5.101ms     510.092us            10  
                                            aten::alias         0.00%      12.449us         0.00%      12.449us       1.245us       0.000us         0.00%       0.000us       0.000us            10  
                                        aten::unsqueeze         0.01%      13.804us         0.01%      18.145us       1.814us       0.000us         0.00%       0.000us       0.000us            10  
                                  cudaStreamIsCapturing         0.01%      22.445us         0.01%      22.445us       0.576us       0.000us         0.00%       0.000us       0.000us            39  
                               cudaEventRecordWithFlags         0.01%      39.262us         0.01%      39.262us       1.963us       0.000us         0.00%       0.000us       0.000us            20  
                                    cudaStreamWaitEvent         0.01%      18.161us         0.01%      18.161us       1.816us       0.000us         0.00%       0.000us       0.000us            10  
                                         cudaEventQuery         0.01%      28.360us         0.01%      28.360us       1.668us       0.000us         0.00%       0.000us       0.000us            17  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 269.639ms
Self CUDA time total: 238.002ms

