-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.359us         0.08%      27.359us       1.140us            24  
                nvjet_sm90_tst_128x80_64x8_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      26.815us         0.08%      26.815us      26.815us             1  
                                           _C::rms_norm         0.01%      86.202us         0.02%     142.405us      14.240us      26.399us         0.08%      26.399us       2.640us            10  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      25.632us         0.08%      25.632us       5.126us             5  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      24.033us         0.07%      24.033us       2.403us            10  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      23.455us         0.07%      23.455us       4.691us             5  
triton_red_fused__to_copy_abs_add_clamp_cutlass_scal...         0.00%       0.000us         0.00%       0.000us       0.000us      20.129us         0.06%      20.129us       4.026us             5  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.966us         0.06%      19.966us       1.997us            10  
                                  _gumbel_sample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      19.712us         0.06%      19.712us      19.712us             1  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      18.687us         0.06%      18.687us       3.737us             5  
                         _prepare_rope_positions_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      16.608us         0.05%      16.608us       3.322us             5  
         triton_red_fused__to_copy_embedding_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us      16.385us         0.05%      16.385us       3.277us             5  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 4, true...         0.00%       0.000us         0.00%       0.000us       0.000us      15.615us         0.05%      15.615us       3.123us             5  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      14.558us         0.04%      14.558us       2.912us             5  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us      14.465us         0.04%      14.465us       1.607us             9  
                                     triton_per_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us      14.176us         0.04%      14.176us       2.835us             5  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      14.176us         0.04%      14.176us       2.835us             5  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 705.760ms
Self CUDA time total: 32.787ms

