arm,concurrency,run,completed,output_throughput,median_tpot_ms,interactivity_tok_s_user,p99_tpot_ms,median_ttft_ms,spec_decode_acceptance_length,spec_decode_draft_tokens,spec_decode_num_drafts,result_path
adaptive_k7,32,1,96,2864.352302695808,9.247596026713861,108.13621152040642,11.87700799044437,80.00634284690022,1.7222155443902203,582358,83194,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k7-BENCH--c32/run=1.json
adaptive_k7,32,2,96,2849.797106042852,9.272540083931213,107.845314331177,11.889001571551397,78.93759617581964,1.709155513443089,591010,84430,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k7-BENCH--c32/run=2.json
adaptive_k7,64,0,160,4858.001280791949,10.711493467755904,93.35766324371419,13.643499069761177,103.405075147748,2.1238201844721054,781690,111670,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k7-BENCH--c64/run=0.json
adaptive_k7,64,1,160,4877.082267759927,10.745945092763751,93.05835748903961,13.967237949340944,103.56844309717417,2.1506417848901993,797853,113979,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k7-BENCH--c64/run=1.json
adaptive_k7,64,2,160,4830.771820715151,10.746841798024821,93.05059279683373,14.154369092087565,103.25773479416966,2.119606312336073,797993,113999,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k7-BENCH--c64/run=2.json
adaptive_k7,128,0,256,6112.826739789812,16.199676024511515,61.7296295609192,21.71945784147833,195.58168947696686,2.1889708792104097,1202852,171836,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k7-BENCH--c128/run=0.json
adaptive_k7,128,1,256,6063.210469543359,16.11855057643715,62.04031778526331,21.537782698668973,234.28406426683068,2.1846796865567812,1217573,173939,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k7-BENCH--c128/run=1.json
adaptive_k7,128,2,256,6047.289882509455,16.184762189629737,61.78651179939748,22.017682241670627,220.21017642691731,2.179235110580894,1220464,174352,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k7-BENCH--c128/run=2.json
adaptive_k8,1,0,16,181.61829001035517,5.359028283148116,186.60099315851315,7.429774743679248,28.863947838544846,2.211117681845062,94696,11837,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k8-BENCH--c1/run=0.json
adaptive_k8,1,1,16,187.17969442370747,5.253853924703499,190.33646811115614,7.054799221688033,28.542724903672934,2.204888195527821,92304,11538,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k8-BENCH--c1/run=1.json
adaptive_k8,1,2,16,190.05631004870938,5.179974162458835,193.0511559782219,6.749430318122962,26.887498795986176,2.233248081841432,93840,11730,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k8-BENCH--c1/run=2.json
